snofo	snowfall
snoflak	snowflake
snoplau	snowplow
snoshu	snowshoe
snoslid	snowslide
sno-stom	snowstorm
snoe	snowy
snuf	snuff
	
# Page 209 Column 3	
snufl	snuffle
sok	soak
sop	soap
sope-nes	soapiness
sobr	sober
sosh	social
sosh^b	sociability
soshb	sociable
soshsm	socialism
soshst	socialist
sosh^st	socialistic
soshezash	socialization
soshiz	socialize
sosha|	socially
ss	society
sosh^o(	sociology
sodn	sodden
sodm	sodium
soda	soda
sofa	sofa
soft	soft
sofn	soften
soft-nes	softness
soel	soil
soje~n	sojourn
	
# Page 210 Column 1	
soje~nd	sojourned
soje~ne~	sojourner
solas	solace
solr	solar
sode~	solder
solje~	soldier
solje~e	soldierly
solje~e	soldiery
solss	solecism
solem	solemn
solem^nt	solemnity
solemezash	solemnization
solemiz	solemnize
soleme	solemnly
solenoe	solenoid
solest	solicit
solestsh	solicitation
soleste~	solicitor
solestus	solicitous
solestu	solicitude
n-solestd	unsolicited
soled	solid
soled^r	solidarity
soled^f	solidification
soledf	solidify
	
# Page 210 Column 2	
soledte	solidity
solede	solidly
soled-nes	solidness
solel	soliloquy
soleliz	soliloquize
soleta~	solitaire
soletre	solitary
soletu	solitude
solstes	solstice
solsh	solution
sol^b	solubility
solb	soluble
solv	solve
solvb	solvable
solvnt	solvent
solvnse	solvency
sombr	somber
sm	some
smbo	somebody
smau	somehow
smun	someone
sm'	something
stm	sometime
stms	sometimes
smot	somewhat
	
# Page 210 Column 3	
sma~	somewhere
som-nam^sm	somnambulism
som-nam^st	somnambulist
som-nol	somnolent
sonata	sonata
song	song
songste~	songster
snlo	son-in-law
sonet	sonnet
sonrus	sonorous
son^r	sonority
sn	soon
sne~	sooner
snes	soonest
suth	soothe
suthd	soothed
sof^sta	sophisticate
sof^stsh	sophistication
sofestre	sophistry
sofmor	sophomore
soprefk	soporific
soprano	soprano
sosere	sorcery
soserr	sorcerer
sodd	sordid
	
# Page 211 Column 1	
soddnes	sordidness
sor^r	sorority
soro	sorrow
sorof	sorrowful
sore	sorry
sot	sort
asotd	assorted
sotd	sorted
sot	sought
n-sot	unsought
sol	soul
solf	soulful
soll	soulless
snd	sound
sndd	sounded
sndes	soundest
sndl	soundless
snde	soundly
snd-nes	soundness
n-snd	unsound
sup	soup
sos	source
rsosf	resourceful
soss	sources
sau	south
	
# Page 211 Column 2	
ses	southeast
sesre	southeasterly
sestn	southeastern
suthe	southerly
suthene~	southerner
suthen-mo	southernmost
su	southwest
sure	southwesterly
suvne~	souvenir
sov	sovereign
sovte	sovereignty
spas	space
spash	spacious
spandrel	spandrel
spangl	spangle
spnel	spaniel
spnsh	Spanish
spar	spare
spa~d	spared
spark	spark
sparkl	sparkle
spars	sparse
spar^s	sparsity
spasm	spasm
spasmod	spasmodic
	
# Page 211 Column 3	
spasmode	spasmodically
sp	speak
bsp	bespeak
sp^r	speaker
spk	spoke
spkn	spoken
nspb	unspeakable
sp	special
esp	especial
sp^st	specialist
spezash	specialization
spiz	specialize
spe	specially
spte	specialty
spes(k	specific
spes^f	specification
spes	specify
nspes^t	unspecified
speshe	specie
speshes	species
spes(mn	specimen
spesh	specious
spkt^k	spectacle
spktak	spectacular
spktake	spectacularly
	
# Page 212 Column 1	
spkta^r	spectator
spkte~	specter
spktrl	spectral
spktr-skp	spectroscope
spktrm	spectrum
spk^u	speculate
spklm	speculum
sp	speech
sp^l	speechless
spmakr	speechmaker
spd	speed
spde|	speedily
spdomete~	speedometer
spda_	speedway
spl	spell
mspl	misspell
splr	speller
spnd	spend
mspnt	misspent
spndthreft	spendthrift
spe~m-sete	spermaceti
sfer	sphere
'emesfer	hemisphere
sfer^k	spherical
sferoe	spheroid
	
# Page 212 Column 2	
sfenks	sphinx
spis	spice
spise-nes	spiciness
spide~	spider
spide~e	spidery
spgt	spigot
spik	spike
spel	spill
speld	spilled
spela_	spillway
spen	spin
spen-ste~	spinster
spn	spun
spnj	spinach
spin	spine
spinl	spinal
spinl	spineless
spnet	spinet
spirl	spiral
spir	spire
spr	spirit
sprl	spiritless
sprulsm	spiritualism
sprules	spiritualist
spr^l	spirituality
	
# Page 212 Column 3	
spruliz	spiritualize
sprule	spiritually
spruus	spirituous
spit	spite
dspit	despite
spitf	spiteful
splendr	splendor
splend	splendid
splendrus	splendorous
splent	splint
splentr	splinter
spoel	spoil
spoelj	spoilage
spoeld	spoiled
spola&'t	spoliate
spola&'sh	spoliation
spola&'tv	spoliative
spola&'te~	spoliator
spnj	sponge
sponsor	sponsor
spontete	spontaneity
spont	spontaneous
spun	spoon
spunf	spoonful
tabspun	tablespoon
	
# Page 213 Column 1	
tespun	teaspoon
spot	sport
spotv	sportive
spotsmn	sportsman
spotsmn^sh	sportsmanship
spot	spot
spotl	spotless
spotli	spotlight
spotd	spotted
spaus	spouse
sprol	sprawl
sprite	sprightly
spreng	spring
sprenkl	sprinkle
sprenkld	sprinkled
sprenklr	sprinkler
sproket	sprocket
spraut	sprout
spnk	spunk
spur	spur
spurus	spurious
spe~n	spurn
spe~t	spurt
spi	spy
spid	spied
	
# Page 213 Column 2	
sko_d	squad
sko_drn	squadron
sko_l	squall
sko_lr	squalor
sko_led	squalid
