esp^ns expectance
esp^nt expectant
espsh expectation
espktra expectorate
espdns expedience
espdn-t expedient
espdi expedite
espdsh expedition
espl expel
espnd expend
espndet expenditure
espns expense
espnsv expensive
spe experience
esprm experiment

# Page 69 Column 1
espr^m experimental
espe~t expert
espe~tn expertness
espa&'t expiate
espa&'sh expiation
esprash expiration
espi expire
espl explain
esplsh explanation
espl^re explanatory
espletv expletive
esplek explicable
esplest explicit
esplest-n explicitness
esplod explode
esploe exploit
espoetsh exploitation
esplorash exploration
esplr explore
esplosh explosion
esplosv explosive
espon exponent
espor export
esporsh exportation
espo expose
esposh exposition
espos^u expostulate

# Page 69 Column 2
espos^ush expostulation
esposhu exposure
espn expound
espr express
esprj expressage
espresh expression
esprv expressive
esplsh expulsion
esprgat expurgate
eskest exquisite
estant extant
estmp extemporaneous
estmpre extemporary
estmp extempore
estn extend
estnsh extension
estnsv extensive
estn extent
estneut extenuate
estneush extenuation
es^or exterior
es^mat exterminate
es^msh extermination
es^nl external
estenk extinct
esteng extinguish
esteng^b extinguishable

# Page 69 Column 3
es^pat extirpate
estol extol
estot extort
estorsh extortion
? es^ extra
es^k extract
es^ksh extraction
es^di extradite
es^dsh extradition
es^nus extraneous
es^odn extraordinary
es^v extravagance
es^v extravagant
es^m extreme
es^mes extremist
es^mt extremity
es^kat extricate
es^kash extrication
es^nsk extrinsic
eseub exuberance
eseub exuberant
eseud exude
esut exult
esutnt exultant
esutsh exultation
a eye
ilet eyelet
isi eyesight
