nsolb insoluble
nsolvse insolvency
nsolvnt insolvent
nsomna&' insomnia
n-somch insomuch
nsp inspect
nspsh inspection
nsp^r inspector
nsprash inspiration
nspi inspire
nst^b instability
n-stol install
n-stolash installation

# Page 98 Column 3
n-stolm installment
ns instance
ns instant
nstnus instantaneous
ns^t instead
n-step instep
nsteg instigate
nstegsh instigation
nsteg^r instigator
n-ste~ instill
ns(tenk instinct
ns(tenk^v instinctive
ns(t institute
ns(tsh institution
ns^k instruct
ns^ksh instruction
ns^kv instructive
ns^kr instructor
ns^m instrument
ns^ml instrumental
ns^m^l instrumentality
nsodn insubordinate
nsufb insufferable
nsuf insufficient
nsulr insular
ns^u insulate
ns^ush insulation
ns^ur insulator

# Page 99 Column 1
nsu insult
ns)^b insuperable
ns)^tb insupportable
ns)^s insuppressible
nsh insure
nsh insurance
nsh^r insurer
nsejnt insurgent
nse~mn-tb insurmountable
nsereksh insurrection
n-tak intact
ntaleo intaglio
n-tnjb intangible
ntje~ integer
ntegrl integral
ntegra integrate
ntegrash integration
nteg^r integrity
n^ek intellectual
n^j intelligence
n^jnt intelligent
n^j intelligible
n-tmp intemperance
n-tmp intemperate
n-tn intend
n-tns intense
n-tnsf intensify
n-tnste intensity

# Page 99 Column 2
n-tnsv intensive
n-tn-t intent
n-tnsh intention
n-tnshl intentional
n^sed intercede
n^sep intercept
n^sesh intercession
n^ssr intercessor
n^ch interchange
n^ch^b interchangeability
n^chb interchangeable
n^kolej intercollegiate
n^kmu intercommunicate
n^krs intercourse
n^dek interdict
n^dsh interdiction
n^s) interest
n^st interested
n^st-n interestedness
n^s-s interests
n^fer interfere
n^ferns interference
n^m interim
n^or interior
n^jk interject
n^jksh interjection
n^las interlace

# Page 99 Column 3
n^lev interleave
n^lan interline
n^lok interlock
n^lopr interloper
n^lud interlude
n^med intermediate
n^m interment
n^mnb interminable
n^meng intermingle
n^msh intermission
n^metn intermittent
n^nl internal
n^nash international
n^pola interpolate
n^polash interpolation
n^po interpose
n^posh interposition
n^p interpret
n^psh interpretation
n^p^r interpreter
n^og interrogate
n^ogsh interrogation
n^ogtv interrogative
n^og^r interrogator
n^og^re interrogatory
n^up interrupt
n^upsh interruption

# Page 100 Column 1
n^sek intersect
n^seksh intersection
n^sprs intersperse
n^st interstate
n^stes interstice
n^rbn interurban
n^va interval
n^ven intervene
n^vnsh intervention
n^v interview
n^uev interweave
ntesta intestate
ntestn intestine
n-tmase intimacy
n-tmat intimate
n-tmsh intimation
n-tmedt intimidate
n-tmedsh intimidation
ntu into
ntolb intolerable
ntolns intolerance
ntolnt intolerant
n-tonat intonate
n-tonsh intonation
ntox intoxicate
ntoxsh intoxication
n^k^b intractability

# Page 100 Column 2
n^kb intractable
n^ktl intractile
nt^tv intransitive
n^nch intrench
n^pd intrepid
n^pdte intrepidity
n^kases intricacies
n^kase intricacy
n^kat intricate
n^g intrigue
n^nsk intrinsic
n^dus introduce
n^dsh introduction
n^dukre introductory
n^sp introspect
n^spsh introspection
n^sp^v introspective
n^d intrude
n^de~ intruder
n^sh intrusion
n^sv intrusive
n^st intrust
nteush intuition
nteushl intuitional
ntutv intuitive
n-n-da inundate
n-n-dsh inundation

# Page 100 Column 3
enur inure
enurm inurement
nvad invade
nvaled invalid
nvaledt invalidate
nvaledsh invalidation
nvaledsm invalidism
nvaledte invalidity
nvlb invaluable
nvarb invariable
nvash invasion
nvkv invective
nva inveigh
nvar inveigher
nvegl inveigle
nvnt invent
nvnsh invention
nvntv inventive
nvntr inventor
nvntre inventory
nve~t invert
nves invest
nvesg investigate
nvesgsh investigation
nvesg^r investigator
nvesm investment
nvetra inveterate

# Pag 101 Column 1
nvedus invidious
nvegra invigorate
nvens invincible
nvilb inviolable
nvila inviolate
nves invisible
nvtsh invitation
nvi invite
nvkash invocation
nvs invoice
nvk invoke
nvolnt involuntary
nvolsh involution
nvol involve
nvul invulnerable
n^d inward
a&eden iodine
a&ed-fm iodoform
a&eta iota
epkak ipecac
iras^b irascibility
irasb irascible
ira irate
eredes iridescence
eredes iridescent
ires iris
irsh Irish

# Page 101 Column 2
erksm irksome
in iron
in-klad ironclad
erashl irrational
erash^l irrationality
erfeut irrefutable
ereg irregular
ereg^r irregularity
erel irrelevant
e~medb irremediable
erepr^b irreparability
ereprb irreparable
erpres irrepressible
erprch irreproachable
erss irresistible
eresolut irresolute
eres^v irrespective
ersp irresponsible
er^v irretrievable
erevk irrevocable
ereg irrigate
eregsh irrigation
e~t^b irritability
e~tb irritable
e~tnt irritant
e~ta irritate

# Page 101 Column 3
e~tsh irritation
? erpsh irruption
iland island
il isle
isola isolate
isolash isolation
issles isosceles
eshuns issuance
eshu issue
esmus isthmus
t it
etaln Italian
etalk italic
eta| Italy
ech itch
atm item
atmiz itemize
etra iterate
itnrse itinerancy
itnrant itinerant
itnre itinerary
itnra itinerate
tss itself
ivre ivory
ive ivy
