# Page 181 Column 1
!	remonstrative
remos	remorse
!	remorseful
remosl	remorseless
remot	remote
!	remoteness
remnt	remount
remu	remove
!	irremovable
remub	removable
remul	removal
remeun	remunerate
remeunsh	remuneration
remeun^v	remunerative
rensans	renaissance
rent	render
rendsh	rendition
renegad	renegade
renu	renew
renu^b	renewable
renul	renewal
!	renominate
renns	renounce
renunsash	renunciation

# Page 188 Column 3
renuns^re	renunciatory
renovat	renovate
!	renovated
renovash	renovation
ren-n	renown
ren-nd	renowned
rent	rent
rentl	rental
rentd	rented
ropn	reopen
rod	reorder
rog	reorganize
rpar	repair
ereprb	irreparable
rpard	repaired
rparb	reparable
rparash	reparation
!	reparative
rpa~te	repartee
rpas	repast
!	repatriate
rpa	repay
!	repaid
rpam	repayment
rpel	repeal

# Page 189 Column 1
!	repealed
rpe	repeat
rpede	repeatedly
!	repeater
rptsh	repetition
rpl	repel
!	repelled
!	repellence
rplent	repellent
rpls	repulse
rejnt	repent
rejntns	repentance
rpnt-nt	repentant
rejntd	repented
!	repercussion
!	repercussive
rpe~ta~_	repertoire
rpe~tre	repertory
rptsh	repetition
!	repetitious
rpin	repine
!	repined
rplas	replace
rplasd	replaced
rplasm	replacement

# Page 189 Column 2
!	replant
!	replanted
rplensh	replenish
!	replenishment
rple	replete
rplesh	repletion
rplev	replevin
replka	replica
rep	reply
rpr	report
rprr	reporter
rpo	repose
rpof	reposeful
rpos	reposes
rpo^re	repository
!	repossess
rprend	reprehend
!	reprehensibility
rprens	reprehensible
rprensh	reprehension
rprensv	reprehensive
rp	represent
msrp	misrepresent
rpsh	representation
rpdf	representative

# Page 189 Column 3
!	unrepresented
rpres	repress
erpres	irrepressible
rpresh	repression
!	repressive
rprev	reprieve
rpremn	reprimand
rprent	reprint
rprisal	reprisal
rprch	reproach
erprchb	irreproachable
rprchf	reproachful
rprbat	reprobate
!	reprobation
rprodus	reproduce
rprodusd	reproduced
!	reproducer
rproduss	reproduces
rproduksh	reproduction
rprodukv	reproductive
rprv	reprove
!	reproof
reptl	reptile
!	reptilian
rp	republic

# Page 190 Column 1
rpbn	republican
!	republicanism
rpb	republish
rpeuda&'t	repudiate
rpeuda&'t-d	repudiated
rpeuda&'sh	repudiation
rpg	repugnant
rpgns	repugnance
rpls	repulse
!	repulsed
rplsh	repulsion
rplsv	repulsive
!	repurchase
rpu	repute
dsrpu	disrepute
rpub	reputable
rpush	reputation
rkes	request
reke_m	requiem
rki	require
rkim	requirement
rkis	requires
rkest	requisite
rkessh	requisition
rekit	requite

# Page 190 Column 2
rekitl	requital
!	reredos
!	resale
!	resold
r-send	rescind
!	rescript
reskeu	rescue
!	rescued
reskeur	rescuer
rsech	research
r-sem	resemble
r-semblans	resemblance
r-sent	resent
!	resented
r-sentf	resentful
r-sent-m	resentment
rs(ev	reserve
rs(evsh	reservation
rs(evd	reserved
r-sevo_r	reservoir
!	reship
rsi	reside
res(etns	residence
!	residency
rs(etn	resident

# Page 190 Column 3
resdnsh	residential
resdu	residue
!	residual
!	residuary
r-sedum	residuum
rs(in	resign
rs(eg	resignation
rs(in-d	resigned
rs(in-de	resignedly
rselent	resilient
rselens	resilience
rselense	resiliency
!	resin
rss	resist
erssb	irresistible
rss(ns	resistance
!	resistant
!	resistibility
!	resistible
!	resistivity
rssl	resistless
rsolv	resolve
eresolut	irresolute
!	resoluble
rs(olut	resolute

# Page 191 Column 1
rs(olsh	resolution
!	resolvable
rs(olvd	resolved
!	resolvent
resnant	resonant
resnans	resonance
!	resonator
rsot	resort
!	resorted
rsnd	resound
!	resounded
rs(os(	resource
rs(os(f	resourceful
res	respect
dsres	disrespect
eres^v	irrespective
res^b	respectability
resb	respectable
res^r	respecter
!	respectful-ly
res^v	respective
!	respects
rspi	respire
!	respirable
resprash	respiration

# Page 191 Column 2
!	respirator
!	respiratory
respt	respite
rsplend	resplendent
!	resplendence
!	resplendency
rsjnt	respond
rsjnt^nt	respondent
rsp	response
erp^b	irresponsibility
ersp	irresponsible
rsp	responsible
rsp^v	responsive
!	rest
!	rested
resf	restful
resl	restless
!	rests
!	restate
res(trant	restaurant
restetsh	restitution
rstor	restore
rstorash	restoration
rstoradf	restorative
rs^n	restrain

# Page 191 Column 3
!	restrained
rs^nt	restraint
!	unrestrained
rs^k^	restrict
rs^ksh^	restriction
rs^kv^	restrictive
!	unrestricted
rs(u	result
rs(unt	resultant
rs(us(	results
rs(m	resume
rs(mb	resumable
rs(msh	resumption
!	résumé
!	resurgent
!	resurgence
rsrk	resurrect
rsrkd	resurrected
rsrksh	resurrection
rssta	resuscitate
!	resuscitation
retal	retail
!	retailed
!	retailer
retn	retain

# Page 192 Column 1
retnd	retained
retnr	retainer
rtnsh	retention
retn-tv	retentive
!	retentivity
retal	retaliate
retalsh	retaliation
!	retaliative
!	retaliatory
reta~d	retard
!	retardation
!	retell
retes	reticent
retes	reticence
retekeu	reticule
retna	retina
!	retinal
retneu	retinue
reti~	retire
reti~d	retired
reti~m	retirement
reti~s	retires
retot	retort
retch	retouch
!	retrace

# Page 192 Column 2
!	retraceable
r^k	retract
!	retractile
r^ksh	retraction
!	retractive
r^kr	retractor
r^t^	retreat
r^t-d^	retreated
r^nch	retrench
r^nchm	retrenchment
!	retrial
bsh	retribution
!	retributive
r^v	retrieve
er^vb	irretrievable
!	retrievable
r^vr	retriever
!	retroactive
r^sesh	retrocession
r^gra	retrograde
r^gres	retrogression
!	retrogressive
r^sp	retrospect
r^spsh	retrospection
r^sp^v	retrospective

# Page 192 Column 3
ret	return
retb	returnable
reun	reunion
!	reunite
!	revalue
rvel	reveal
rvelash	revelation
revlre	revelry
rvenj	revenge
!	revenged
rvenjf	revengeful
revnu	revenue
rvrb	reverberate
!	reverberant
!	reverberation
!	reverberative
!	reverberator
!	reverberatory
rver	revere
erev	irreverent
