# Page 110 Column 3	
en'eum^nt	inhumanity
enem^k	inimical
enemetb	inimitable
eneke_te	iniquity
eneke_etus	iniquitous
enesh	initial
enesha|	initially
enesha&'t	initiate
enesha&'sh	initiation
enesha&'tre	initiatory
unenesha&'td	uninitiated
njk	inject
njksh	injection
njkr	injector
njdeshus	injudicious
njnk	injunction
nju	injure
nju^t	injured
njus	injuries
njuus	injurious
nju	injury
nnju^t	uninjured
njus-s	injustice
njus	unjust
enk	ink
	
# Page 111 Column 1	
enk'orn	inkhorn
enkl'	inkling
enkstn	inkstand
enke_l	inkwell
enke	inky
nlad	inlaid
nland	inland
nle	inlet
nmat	inmate
nmo	inmost
en	inn
enat	innate
ene~	inner
ene~mo	innermost
en'	inning
enos	innocence
enos	innocent
enose	innocently
enos-s	innocents
enok	innocuous
enovat	innovate
enovash	innovation
enovatv	innovative
enovate~	innovator
enundo	innuendo
	
# Page 111 Column 2	
eneumb	innumerable
enok^u	inoculate
enofensv	inoffensive
enoprb	inoperable
nopra^v	inoperative
enoprtn	inopportune
enoprtn-nes	inopportuneness
enodnat	inordinate
koodnat	coordinate
s(odnat	subordinate
enognek	inorganic
npasht	inpatient
n-kes	inquest
n-kitu	inquietude
n-ki	inquire
n-ki^r	inquirer
n-kis	inquires
n-kis	inquiries
n-ki	inquiry
n-kessh	inquisition
n-kestv	inquisitive
n-san	insane
n-s^nt	insanity
n-sanetre	insanitary
n-skr	inscribe
	
# Page 111 Column 3	
n-skr^r	inscriber
n-skrsh	inscription
n-skrutb	inscrutable
n-skrut^b	inscrutability
n-sek	insect
n-seksi	insecticide
n-sekvrus	insectivorous
n-sekr	insecure
n-sek^r	insecurity
n-sensb	insensible
n-sensa	insensate
n-sens^b	insensibility
n-senstv	insensitive
n-senshns	insentience
n-sensht	insentient
nseprb	inseparable
nse~t	insert
nse~td	inserted
nsesh	insertion
nset	inset
nshor	inshore
nsi	inside
nsi^r	insider
n-sedus	insidious
n-sit	insight
	
# Page 112 Column 1	
n-segna&'	insignia
n-sg	insignificant
n-sg	insignificance
n-sense	insincere
n-sensee	insincerely
n-sens^r	insincerity
n-seneut	insinuate
n-seneutd	insinuated
n-seneush	insinuation
nsepd	insipid
nsepdte	insipidity
nss	insist
nssns	insistence
nss^nt	insistent
n-sobri	insobriety
n-solent	insolent
n-solens	insolence
n-solb	insoluble
n-solvnse	insolvency
n-solvnt	insolvent
s-som-na&'	insomnia
n-somch	insomuch
nsp	inspect
nspsh	inspection
nsp^r	inspector
	
# Page 112 Column 2	
nspi	inspire
nsprash	inspiration
nsprashl	inspirational
nspi^t	inspired
snpi^r	inspirer
nspis	inspires
n-st^b	instability
n-stol	install
n-stolash	installation
n-stold	installed
n-stolm	installment
ns	instant
ns	instance
nstnus	instantaneous
nse	instantly
n-std	instead
n-step	instep
n-steg	instigate
n-stegsh	instigation
n-steg^r	instigator
n-stel	instill
n-stenk	instinct
n-stenk^v	instinctive
n-st	institute
n-stsh	institution
	
# Page 112 Column 3	
n-stshl	institutional
ns^k	instruct
ns^ksh	instruction
ns^kshl	instructional
ns^kv	instructive
ns^kr	instructor
ns^kres	instructress
n-ns^kt	uninstructed
ns^m	instrument
ns^ml	instrumental
ns^mles	instrumentalist
ns^m^l	instrumentality
ns^ma|	instrumentally
ns^msh	instrumentation
nsodnat	insubordinate
nsodnsh	insubordination
n-sufb	insufferable
n-suf	insufficient
n-s^u	insulate
n-sulr	insular
n-sul^r	insularity
n-s^ush	insulation
n-s^ur	insulator
n-n-s^ut	uninsulated
nsu	insult
	
# Page 113 Column 1	
n-sus	insults
n-s^b	insuperable
n-s^b	insuperability
n-s^tb	insupportable
n-s^sb	insuppressible
nsh	insure
nsh^b	insurability
nshb	insurable
nsh	insurance
n-nsh^t	uninsured
nsejnt	insurgent
nse~mntb	insurmountable
nsereksh	insurrection
nserekshre	insurrectionary
ntak	intact
ntaleo	intaglio
ntak	intake
n-tnjb	intangible
n-tnj^b	intangibility
ntje~	integer
dsntegra	disintegrate
ntegrl	integral
ntegra	integrate
ntegrash	integration
nteg^r	integrity
	
# Page 113 Column 2	
ntegm	integument
n^ek	intellect
n^ek	intellectual
n^ene	intellectually
n^jnt	intelligent
n^j	intelligence
n^j^b	intelligibility
n^jb	intelligible
n-n^jnt	unintelligent
ntmpra	intemperate
ntmp	intemperance
ntmprae	intemperately
ntn	intend
ntnt	intent
ntnsh	intention
ntndn	intendant
ntns	intense
ntns^f	intensification
ntnsf	intensify
ntn^s	intensity
ntnsv	intensive
ntnt	intent
ntn	intend
ntnsh	intention
ntnshl	intentional
	
# Page 113 Column 3	
ntnt-nes	intentness
n-ntnshl	unintentional
n^bro	interborough
n^sed	intercede
n^sedd	interceded
n^sesh	intercession
n^sep	intercept
n^sepsh	interception
n^chb	interchangeable
n^koleja&'t	intercollegiate
n^krs	intercourse
n^dnomnshl	interdenominational
n^dpndnt	interdependent
n^dek	interdict
n^deksh	interdiction
n^s	interest
n^s^t	interested
n-n^s^t	uninterested
n^fer	interfere
n^ferns	interference
n^m	interim
n^or	interior
n^jk	interject
n^lok	interlock
n^lokte~	interlocutor
	
# Page 114 Column 1	
n^lopr	interloper
n^lud	interlude
n^marj	intermarriage
n^med	intermediate
n^medre	intermediary
n^medso	intermezzo
n^mnb	interminable
n^mengl	intermingle
n^met	intermit
n^msh	intermission
n^metns	intermittence
n^metn	intermittent
n^mextr	intermixture
n^n	intern
n^mn	internment
n^nl	internal
n^na|	internally
n^nashl	international
n^nes(n	internecine
n^pla	interpellate
n^plash	interpellation
n^pola	interpolate
n^polash	interpolation
n^po	interpose
n^posh	interposition
	
# Page 114 Column 2	
n^p	interpret
n^psh	interpretation
n^ptv	interpretative
n^p^r	interpreter
n^reg	interregnum
n^relash	interrelation
n^og	interrogate
n^ogsh	interrogation
n^ogv	interrogative
n^og^re	interrogatory
n^up	interrupt
n^up^t	interrupted
n^upsh	interruption
n-n^up^t	uninterrupted
n^skl^st	interscholastic
n^sek	intersect
n^sprs	intersperse
n^st	interstate
n^stes	interstice
n^stess	interstices
n^stesh	interstitial
n^ti_n	intertwine
n^ti_nd	intertwined
n^vl	interval
n^ven	intervene
	
# Page 114 Column 3	
? n^vnsh	intervention
nonn^vnsh	non-intervention
n^veu	interview
n^uev	interweave
ntes(ta	intestate
ntes(tn	intestine
ntmat	intimate
ntmse	intimacy
ntmatd	intimated
ntmsh	intimation
ntmedt	intimidate
ntmedt^t	intimidated
ntmedsh	intimidation
ntu	into
ntolrans	intolerance
ntolrb	intolerable
ntolrant	intolerant
nton	intone
ntonsh	intonation
ntox	intoxicate
ntox^nt	intoxicant
ntox^t	intoxicated
ntoxsh	intoxication
non-ntox'	non-intoxicating
n^kb	intractable
	
# Page 115 Column 1	
nt^jnt	intransigent
nt^j	intransigence
