# Page 99 Column 1	
'eumnetra&'n	humanitarian
'eum^nt	humanity
’eumnezash	humanization
’eumniz	humanize
’eumnki	humankind
'umb	humble
’umbnes	humbleness
’umb^st	humblest
'umbug	humbug
'um-drm	humdrum
'eumed	humid
'eumedf	humidify
'eumedte	humidity
'eumedr	humidor
'umela&'t	humiliate
'umela&'sh	humiliation
'um^l	humility
'umok	hummock
'eume~	humor
'eume~^st	humorist
'eumerus	humorous
’eumerusnes	humorousness
'unch	hunch
'und	hundred
’undfold	hundredfold
	
# Page 99 Column 2	
'undth)	hundredth
'unge~	hunger
'unge~^t	hungered
'ungre|	hungrily
’unk	hunk
'unt	hunt
’untd	hunted
'untr	hunter
’untsman	huntsman
'e~dl	hurdle
’e~dld	hurdled
’e~dlr	hurdler
'erl	hurl
'erekan	hurricane
'ere	hurry
un’ered	unhurried
'e~t	hurt
'e~tf	hurtful
’e~tfnes	hurtfulness
un'e~t	unhurt
'us(	husband
'us(^re	husbandry
’us(s	husbands
'usk	husk
’uske|	huskily
	
# Page 99 Column 3	
'uskenes	huskiness
'usar	hussar
’ust^s(	hustings
'usl	hustle
'usld	hustled
’uslr	hustler
’uch	hutch
'isenth	hyacinth
'ilen	hyaline
'ibred	hybrid
idrant	hydrant
'idra	hydrate
'idrol	hydraulic
'idrokrbn	hydrocarbon
'idroklrk	hydrochloric
'idrel^k	hydroelectric
'idroj	hydrogen
’idromete~	hydrometer
’idrofoba&’	hydrophobia
’idroplan	hydroplane
'idro-st^as	hydrostatics
'idros)id	hydroxide
'ijen	hygiene
'ijenek	hygienic
’ijen^ke	hygienically
	
# Page 100 Column 1	
’im-nl	hymnal
'iprbla	hyperbola
'iprble	hyperbole
'iperkr^a|	hypercritical
'ipe~trofe	hypertrophy
'ifn	hyphen
’ifnat	hyphenate
’ifnatd	hyphenated
'ifnd	hyphened
	
# Page 100 Column 2	
'epnss	hypnosis
'epn^a	hypnotic
'epnots)m	hypnotism
'epnotes	hypnotist
’epnotiz	hypnotize
’ipkndra&’	hypochondria
’ipkndra&’k	hypochondriac
'epkrse	hypocrisy
'epkret	hypocrite
	
# Page 100 Column 3	
'epkr^a|	hypocritical
'ipdemek	hypodermic
'iptnus	hypotenuse
'ipthek	hypothecate
'ipthess	hypothesis
'ipth^a|	hypothetical
'estera&'	hysteria
'ester^k	hysterical
'estrks	hysterics
